PASS:  248710 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  248750 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  248790 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  248830 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  248870 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  248910 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  248950 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  248990 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  249030 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  249070 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  249110 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  249150 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  249190 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  249230 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  249270 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  249310 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  249350 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  249390 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  249430 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  249470 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  249510 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  249550 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  249590 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  249630 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  249670 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  249710 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  249750 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  249790 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  249830 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  249870 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  249910 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  249950 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  249990 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  250030 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  250070 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  250110 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  250150 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  250190 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  250230 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  250270 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  250310 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  250350 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  250390 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  250430 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  250470 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  250510 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  250550 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  250590 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  250630 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  250670 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  250710 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  250750 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  250790 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  250830 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  250870 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  250910 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  250950 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  250990 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  251030 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  251070 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  251110 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  251150 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  251190 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  251230 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  251270 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  251310 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  251350 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  251390 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  251430 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  251470 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  251510 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  251550 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  251590 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  251630 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  251670 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  251710 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  251750 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  251790 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  251830 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  251870 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  251910 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  251950 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  251990 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  252030 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  252070 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  252110 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  252150 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  252190 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  252230 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  252270 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  252310 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  252350 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  252390 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  252430 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  252470 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  252510 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  252550 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  252590 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  252630 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  252670 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  252710 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  252750 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  252790 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  252830 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  252870 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  252910 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  252950 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  252990 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  253030 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  253070 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  253110 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  253150 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  253190 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  253230 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  253270 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  253310 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  253350 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  253390 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  253430 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  253470 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  253510 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  253550 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  253590 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  253630 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  253670 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  253710 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  253750 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  253790 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  253830 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  253870 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  253910 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  253950 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  253990 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  254030 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  254070 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  254110 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  254150 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  254190 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  254230 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  254270 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  254310 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  254350 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  254390 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  254430 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  254470 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  254510 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  254550 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  254590 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  254630 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  254670 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  254710 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  254750 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  254790 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  254830 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  254870 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  254910 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  254950 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  254990 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  255030 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  255070 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  255110 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  255150 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  255190 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  255230 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  255270 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  255310 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  255350 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
